Lead_ID,Stage_Name,Stage_Status,Stage_Date,Drop_Reason
HL10000,Lead Contacted,Completed,4/6/2024,
HL10000,Lead Qualified,Completed,4/8/2024,
HL10000,Document Collection,Completed,4/13/2024,
HL10000,Credit Check,Completed,4/20/2024,
HL10000,Property Valuation,Completed,4/24/2024,
HL10000,Legal Verification,Completed,4/27/2024,
HL10000,Sanction Approved,Completed,5/3/2024,
HL10000,Loan Disbursed,Completed,5/5/2024,
HL10001,Lead Contacted,Completed,1/23/2024,
HL10001,Lead Qualified,Completed,1/30/2024,
HL10001,Document Collection,Dropped,2/3/2024,Low eligibility
HL10001,Credit Check,Pending,2/4/2024,
HL10001,Property Valuation,Pending,2/5/2024,
HL10001,Legal Verification,Pending,2/6/2024,
HL10001,Sanction Approved,Pending,2/7/2024,
HL10001,Loan Disbursed,Pending,2/12/2024,
HL10002,Lead Contacted,Completed,6/11/2024,
HL10002,Lead Qualified,Completed,6/18/2024,
HL10002,Document Collection,Completed,6/24/2024,
HL10002,Credit Check,Completed,6/25/2024,
HL10002,Property Valuation,Completed,6/28/2024,
HL10002,Legal Verification,Dropped,7/2/2024,Document incomplete
HL10002,Sanction Approved,Pending,7/10/2024,
HL10002,Loan Disbursed,Pending,7/11/2024,
HL10003,Lead Contacted,Completed,12/2/2024,
HL10003,Lead Qualified,Completed,12/3/2024,
HL10003,Document Collection,Completed,12/6/2024,
HL10003,Credit Check,Dropped,12/11/2024,Changed mind
HL10003,Property Valuation,Pending,12/14/2024,
HL10003,Legal Verification,Pending,12/16/2024,
HL10003,Sanction Approved,Pending,12/18/2024,
HL10003,Loan Disbursed,Pending,12/25/2024,
HL10004,Lead Contacted,Dropped,5/30/2024,Customer not reachable
HL10004,Lead Qualified,Pending,6/6/2024,
HL10004,Document Collection,Pending,6/13/2024,
HL10004,Credit Check,Pending,6/20/2024,
HL10004,Property Valuation,Pending,6/23/2024,
HL10004,Legal Verification,Pending,6/30/2024,
HL10004,Sanction Approved,Pending,7/1/2024,
